acco_ls_ratio,avg_quote_per_trade,avg_quote_per_trade_rank,close,close_time,funding_rate,global_ls_ratio,number_of_trades,number_of_trades_rank,oi,oi_change_pct,oi_rank,oi_value,oi_value_rank,posit_ls_ratio,price_abs_rank,price_change_pct,quote_volume,quote_volume_rank,rsi,source,taker_quote_imbalance_pct,timeframe,timestamp
3.1859,56.566281801174235,,0.04318,1781827199999,0.00071283,2.9573,1101648.0,,171567439.0,,,9725497.58226985,,1.4465,,,62316131.2137,,39.80932584909481,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-2.171950456100268,4h,1781812800000
3.7893,50.49554911114777,,0.04374,1781841599999,0.00099402,3.4783,970015.0,,248764735.0,44.9953070640636,,10561563.05210205,,1.4766,,1.2968967114404872,48981440.07105,,39.93455056668315,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-3.411374136991933,4h,1781827200000
3.7893,55.83218369392724,,0.02935,1781913599999,0.00099402,3.4783,3371022.0,,248764735.0,,,10561563.05210205,,1.4766,,,188211519.54027,,41.1172904394221,ESPORTSUSDT_1d_limit500_20260718_182741_enriched_candles.csv,-4.347757942084493,1d,1781827200000
3.8591,52.035572652206284,,0.03946,1781855999999,0.00060597,3.8263,564070.0,,289397490.0,16.333808326972065,,12649613.4854733,,1.1751,,-9.785093735711015,29351705.46593,,39.26223023621083,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-6.826674345365885,4h,1781841600000
3.9529,56.712382908015016,,0.03419,1781870399999,0.00176843,3.7326,632201.0,,331056426.0,14.39505781477235,,13053554.87718,,1.2067,,-13.355296502787638,35853625.18683,,38.40486626412726,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-4.254058528481127,4h,1781856000000
3.9603,63.16741884160998,,0.03252,1781884799999,0.00135249,3.8333,450142.0,,402675813.0,21.633589133231325,,13751246.13093171,,1.1781,,-4.884469143024273,28434308.2522,,38.1207849694911,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-3.074614100282743,4h,1781870400000
4.1203,67.29824639044575,,0.03219,1781899199999,0.00131324,4.0659,332753.0,,470661795.0,16.88355242732198,,15301214.95545,,1.1717,,-1.0147601476014678,22393693.38116,,38.06087249278573,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-4.1190845134819725,4h,1781884800000
4.1733,54.98931394316816,,0.02935,1781913599999,0.00063111,4.005,421841.0,,467559218.0,-0.6591945709126468,,15033356.72687912,,1.1517,,-8.822615719167448,23196747.1831,,37.514431971816606,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-5.114515181612839,4h,1781899200000
4.1282,50.067058566513154,,0.03086,1781927999999,0.00095579,3.9875,208673.0,,472014291.0,0.9528360961541305,,13819067.9947488,,1.1201,,5.144804088586019,10447643.31225,,38.02391716984487,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,-2.045333878880091,4h,1781913600000
4.1282,48.75138606931044,,0.03189,1781999999999,0.00095579,3.9875,1114868.0,,472014291.0,89.74324917878734,,13819067.9947488,,1.1201,,8.654173764906314,54351360.28432,,41.32976900873791,ESPORTSUSDT_1d_limit500_20260718_182741_enriched_candles.csv,-6.822058749778328,1d,1781913600000
