symbol,timeframe,left_path,right_path,relation,overlap_or_gap_seconds
CLOUSDT,15m,CLOUSDT_15m_limit100_20260707_173702_enriched_candles.csv,CLOUSDT_15m_limit500_20260627_190616_enriched_candles.csv,GAP,770400
CLOUSDT,15m,CLOUSDT_15m_limit100_20260707_173702_enriched_candles.csv,CLOUSDT_15m_limit500_20260627_190616_enriched_candles.jsonl,GAP,770400
CLOUSDT,15m,CLOUSDT_15m_limit500_20260627_190616_enriched_candles.csv,CLOUSDT_15m_limit500_20260627_190616_enriched_candles.jsonl,EXACT_COVERAGE,0
COOKIEUSDT,15m,COOKIEUSDT_15m_limit100_20260628_205718_enriched_candles.csv,COOKIEUSDT_15m_limit100_20260628_205718_enriched_candles.jsonl,EXACT_COVERAGE,0
EPICUSDT,15m,EPICUSDT_15m_limit100_20260704_181648_enriched_candles.csv,EPICUSDT_15m_limit500_20260707_181057_enriched_candles.csv,B_CONTAINS_A,0
EPICUSDT,15m,EPICUSDT_15m_limit100_20260704_181648_enriched_candles.csv,EPICUSDT_15m_limit500_20260707_181057_enriched_candles.jsonl,B_CONTAINS_A,0
EPICUSDT,15m,EPICUSDT_15m_limit500_20260707_181057_enriched_candles.csv,EPICUSDT_15m_limit500_20260707_181057_enriched_candles.jsonl,EXACT_COVERAGE,0
ESPORTSUSDT,15m,ESPORTSUSDT_15m_limit500_20260718_182815_enriched_candles.csv,ESPORTSUSDT_15m_limit500_20260718_182815_enriched_candles.jsonl,EXACT_COVERAGE,0
ESPORTSUSDT,1d,ESPORTSUSDT_1d_limit500_20260718_182741_enriched_candles.csv,ESPORTSUSDT_1d_limit500_20260718_182741_enriched_candles.jsonl,EXACT_COVERAGE,0
ESPORTSUSDT,1h,ESPORTSUSDT_1h_limit500_20260718_182804_enriched_candles.csv,ESPORTSUSDT_1h_limit500_20260718_182804_enriched_candles.jsonl,EXACT_COVERAGE,0
ESPORTSUSDT,4h,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.csv,ESPORTSUSDT_4h_limit500_20260718_182753_enriched_candles.jsonl,EXACT_COVERAGE,0
ESPORTSUSDT,5m,ESPORTSUSDT_5m_limit100_20260709_140856_enriched_candles.csv,ESPORTSUSDT_5m_limit500_20260718_182823_enriched_candles.csv,GAP,643800
ESPORTSUSDT,5m,ESPORTSUSDT_5m_limit100_20260709_140856_enriched_candles.csv,ESPORTSUSDT_5m_limit500_20260718_182823_enriched_candles.jsonl,GAP,643800
