acco_ls_ratio,avg_quote_per_trade,avg_quote_per_trade_rank,close,close_time,funding_rate,global_ls_ratio,number_of_trades,number_of_trades_rank,oi,oi_change_pct,oi_rank,oi_value,oi_value_rank,posit_ls_ratio,price_abs_rank,price_change_pct,quote_volume,quote_volume_rank,rsi,source,taker_quote_imbalance_pct,timeframe,timestamp
4.9242,42.58269976738107,,0.03585,1781827199999,0.00070044,4.4201,3826.0,,168766692.0,,,5998955.5188282,,1.5041,,,162921.40931,,45.173766682495874,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,-16.212998832915627,4h,1781812800000
4.8962,49.3892243531925,,0.03663,1781841599999,0.00070044,4.3879,4213.0,,169059949.0,0.1737647378903473,,6058488.12214717,,1.5147,,2.175732217573234,208076.8022,,52.095221064176044,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,8.054667124252827,4h,1781827200000
4.7372,54.63576251985226,,0.03684,1781855999999,0.00023172,4.2165,10830.0,,169596770.0,0.31753292437111114,,6211418.9504451,,1.5235,,0.5733005733005614,591705.30809,,53.786770315583794,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,-10.486424012367019,4h,1781841600000
4.9559,45.26390806470589,,0.03704,1781870399999,0.00023172,4.4496,5100.0,,170106112.0,0.30032529511028194,,6265858.63552,,1.5319,,0.5428881650380024,230845.93113,,55.40193642549,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,-6.782506104117885,4h,1781856000000
4.9773,60.13603904260651,,0.03732,1781884799999,5e-05,4.5066,3990.0,,169817431.0,-0.1697064241877433,,6289560.45725889,,1.5323,,0.7559395248380119,239942.79578,,57.63436372602345,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,-14.307689934344555,4h,1781870400000
5.0314,109.9354060909732,,0.03786,1781899199999,5e-05,4.3996,14180.0,,170006059.0,0.11107693650129757,,6344626.12188,,1.5326,,1.4469453376205754,1558884.05837,,61.62406770386688,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,43.97697753910094,4h,1781884800000
4.848,43.08476194415719,,0.03817,1781913599999,0.00010286,4.1282,3868.0,,170440124.0,0.25532325292005886,,6447339.13022116,,1.5353,,0.8188061278394221,166651.8592,,63.73542691395046,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,8.191987671506267,4h,1781899200000
4.8106,77.91640672005414,,0.03993,1781927999999,0.00010286,4.0352,39897.0,,170441453.0,0.0007797459710801036,,6505665.0402835,,1.5403,,4.610951008645525,3108630.87891,,72.86371341306595,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,2.787887997187626,4h,1781913600000
4.0968,63.54919748845373,,0.03741,1781942399999,0.00034355,3.8662,21652.0,,170125924.0,-0.18512456591178728,,6798885.20658816,,1.548,,-6.311044327573256,1375967.22402,,52.49048565106031,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,-16.165346122864253,4h,1781928000000
4.9737,61.907602653598595,,0.03718,1781956799999,0.00022362,4.339,10254.0,,169733273.0,-0.23080021596237899,,6349721.74293,,1.5246,,-0.6148088746324554,634800.55761,,51.08648741900594,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,0.5183008222909269,4h,1781942400000
