anchor_close_time,anchor_time,anchor_timestamp,campaign_index,campaign_profile_outcome,coverage_complete,decision_available_time,first_negative_minutes,first_positive_minutes,future_rows,gap_truncated,horizon_minutes,mae_close_pct,mae_percentile,matched_control_count,mfe_close_pct,mfe_percentile,observed_minutes,path_class,stage,stage_review_status,symbol,terminal_percentile,terminal_return_pct
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,accepted_expansion,True,2026-07-13T20:29:59.999000+00:00,45,15,4,False,60,-0.4458066313736464,,0,0.05572582892170441,,60,INSUFFICIENT_MATCHED_CONTROLS,EARLY_BUILD,PASS,LYNUSDT,,-0.4458066313736464
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,accepted_expansion,True,2026-07-13T20:29:59.999000+00:00,45,15,6,False,90,-1.4210086375034736,,0,0.05572582892170441,,90,INSUFFICIENT_MATCHED_CONTROLS,EARLY_BUILD,PASS,LYNUSDT,,-1.4210086375034736
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,accepted_expansion,True,2026-07-13T20:29:59.999000+00:00,45,15,16,False,240,-1.4210086375034736,,0,0.05572582892170441,,240,INSUFFICIENT_MATCHED_CONTROLS,EARLY_BUILD,PASS,LYNUSDT,,-0.16717748676511324
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,accepted_expansion,True,2026-07-13T20:29:59.999000+00:00,45,15,24,False,360,-1.4210086375034736,,0,0.05572582892170441,,360,INSUFFICIENT_MATCHED_CONTROLS,EARLY_BUILD,PASS,LYNUSDT,,-1.1145165784340993
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,accepted_expansion,True,2026-07-13T20:29:59.999000+00:00,45,15,48,False,720,-2.814154360546106,,0,0.05572582892170441,,720,INSUFFICIENT_MATCHED_CONTROLS,EARLY_BUILD,PASS,LYNUSDT,,-2.0618556701030855
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,accepted_expansion,True,2026-07-13T20:29:59.999000+00:00,45,15,96,False,1440,-2.814154360546106,,0,0.22290331568683985,,1440,INSUFFICIENT_MATCHED_CONTROLS,EARLY_BUILD,PASS,LYNUSDT,,-0.668709947060453
1783981799999,2026-07-13T22:15:00+00:00,1783980900000,1,accepted_expansion,True,2026-07-13T22:29:59.999000+00:00,45,15,4,False,60,-0.3638399104394008,,0,0.11195074167367203,,60,INSUFFICIENT_MATCHED_CONTROLS,CONFIRMED_BUILD,PASS,LYNUSDT,,-0.11195074167366093
1783981799999,2026-07-13T22:15:00+00:00,1783980900000,1,accepted_expansion,True,2026-07-13T22:29:59.999000+00:00,45,15,6,False,90,-0.3638399104394008,,0,0.11195074167367203,,90,INSUFFICIENT_MATCHED_CONTROLS,CONFIRMED_BUILD,PASS,LYNUSDT,,0.11195074167367203
1783981799999,2026-07-13T22:15:00+00:00,1783980900000,1,accepted_expansion,True,2026-07-13T22:29:59.999000+00:00,45,15,16,False,240,-0.6717044500419767,,0,0.27987685418415786,,240,INSUFFICIENT_MATCHED_CONTROLS,CONFIRMED_BUILD,PASS,LYNUSDT,,-0.6717044500419767
1783981799999,2026-07-13T22:15:00+00:00,1783980900000,1,accepted_expansion,True,2026-07-13T22:29:59.999000+00:00,45,15,24,False,360,-1.987125664707512,,0,0.27987685418415786,,360,INSUFFICIENT_MATCHED_CONTROLS,CONFIRMED_BUILD,PASS,LYNUSDT,,-1.2314581584102924
1783981799999,2026-07-13T22:15:00+00:00,1783980900000,1,accepted_expansion,True,2026-07-13T22:29:59.999000+00:00,45,15,48,False,720,-2.378953260565342,,0,0.27987685418415786,,720,INSUFFICIENT_MATCHED_CONTROLS,CONFIRMED_BUILD,PASS,LYNUSDT,,-1.4273719563391962
1783981799999,2026-07-13T22:15:00+00:00,1783980900000,1,accepted_expansion,True,2026-07-13T22:29:59.999000+00:00,45,15,96,False,1440,-2.378953260565342,,0,0.6717044500419878,,1440,INSUFFICIENT_MATCHED_CONTROLS,CONFIRMED_BUILD,PASS,LYNUSDT,,0.19591379792891495
1784000699999,2026-07-14T03:30:00+00:00,1783999800000,1,accepted_expansion,True,2026-07-14T03:44:59.999000+00:00,,15,4,False,60,0.17094017094017033,,0,0.7977207977208023,,60,INSUFFICIENT_MATCHED_CONTROLS,IGNITION_CANDIDATE,PASS,LYNUSDT,,0.7977207977208023
1784000699999,2026-07-14T03:30:00+00:00,1783999800000,1,accepted_expansion,True,2026-07-14T03:44:59.999000+00:00,,15,6,False,90,0.17094017094017033,,0,0.7977207977208023,,90,INSUFFICIENT_MATCHED_CONTROLS,IGNITION_CANDIDATE,PASS,LYNUSDT,,0.7122507122507171
1784000699999,2026-07-14T03:30:00+00:00,1783999800000,1,accepted_expansion,True,2026-07-14T03:44:59.999000+00:00,180,15,16,False,240,-0.6267806267806209,,0,0.7977207977208023,,240,INSUFFICIENT_MATCHED_CONTROLS,IGNITION_CANDIDATE,PASS,LYNUSDT,,-0.14245014245014564
1784000699999,2026-07-14T03:30:00+00:00,1783999800000,1,accepted_expansion,True,2026-07-14T03:44:59.999000+00:00,180,15,24,False,360,-0.6267806267806209,,0,0.7977207977208023,,360,INSUFFICIENT_MATCHED_CONTROLS,IGNITION_CANDIDATE,PASS,LYNUSDT,,0.2849002849002913
1784000699999,2026-07-14T03:30:00+00:00,1783999800000,1,accepted_expansion,True,2026-07-14T03:44:59.999000+00:00,180,15,48,False,720,-0.6267806267806209,,0,2.3361823361823353,,720,INSUFFICIENT_MATCHED_CONTROLS,IGNITION_CANDIDATE,PASS,LYNUSDT,,2.1937321937322007
1784000699999,2026-07-14T03:30:00+00:00,1783999800000,1,accepted_expansion,True,2026-07-14T03:44:59.999000+00:00,180,15,96,False,1440,-0.6267806267806209,,0,2.478632478632492,,1440,INSUFFICIENT_MATCHED_CONTROLS,IGNITION_CANDIDATE,PASS,LYNUSDT,,1.3675213675213627
1784001599999,2026-07-14T03:45:00+00:00,1784000700000,1,accepted_expansion,True,2026-07-14T03:59:59.999000+00:00,,15,4,False,60,0.19908987485779406,,0,0.6257110352673623,,60,INSUFFICIENT_MATCHED_CONTROLS,ACCEPTED_IGNITION,PASS,LYNUSDT,,0.3981797497155881
1784001599999,2026-07-14T03:45:00+00:00,1784000700000,1,accepted_expansion,True,2026-07-14T03:59:59.999000+00:00,90,15,6,False,90,-0.05688282138793799,,0,0.6257110352673623,,90,INSUFFICIENT_MATCHED_CONTROLS,ACCEPTED_IGNITION,PASS,LYNUSDT,,-0.05688282138793799
1784001599999,2026-07-14T03:45:00+00:00,1784000700000,1,accepted_expansion,True,2026-07-14T03:59:59.999000+00:00,90,15,16,False,240,-0.796359499431154,,0,0.6257110352673623,,240,INSUFFICIENT_MATCHED_CONTROLS,ACCEPTED_IGNITION,PASS,LYNUSDT,,-0.11376564277587597
1784001599999,2026-07-14T03:45:00+00:00,1784000700000,1,accepted_expansion,True,2026-07-14T03:59:59.999000+00:00,90,15,24,False,360,-0.796359499431154,,0,0.6257110352673623,,360,INSUFFICIENT_MATCHED_CONTROLS,ACCEPTED_IGNITION,PASS,LYNUSDT,,0.11376564277589818
