acco_ls_ratio,avg_quote_per_trade,avg_quote_per_trade_rank,close,close_time,funding_rate,global_ls_ratio,number_of_trades,number_of_trades_rank,oi,oi_change_pct,oi_rank,oi_value,oi_value_rank,posit_ls_ratio,price_abs_rank,price_change_pct,quote_volume,quote_volume_rank,rsi,source,taker_quote_imbalance_pct,timeframe,timestamp
0.755,27.98292553232999,,0.03965,1781913599999,5e-05,0.601,132756.0,,122883143.0,,,4507948.43965212,,3.7703,,,3714901.26197,,52.22164756025755,BANKUSDT_1d_limit500_20260718_174500_enriched_candles.csv,3.286288404479973,1d,1781827200000
0.7334,30.680354687812812,,0.03965,1781913599999,5e-05,0.6013,15984.0,,124821911.0,,,4971656.71513,,3.7095,,,490394.78933,,51.78113128462918,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-7.706028961202947,4h,1781899200000
0.7449,26.077331838630364,,0.03983,1781927999999,5e-05,0.6106,10981.0,,126056515.0,0.9890923717711608,,4998140.81975,,3.6353,,0.45397225725094525,286355.18092,,52.53160882305881,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,8.278074964050479,4h,1781913600000
0.7449,23.510918674527655,,0.03883,1781999999999,5e-05,0.6106,58432.0,,126056515.0,2.582430691897253,,4998140.81975,,3.6353,,-2.0680958385876247,1373789.99999,,51.039867555723816,BANKUSDT_1d_limit500_20260719_170839_enriched_candles.csv,-4.233408042744754,1d,1781913600000
0.7727,24.747461322751324,,0.04001,1781942399999,5e-05,0.6247,12852.0,,125426289.0,-0.49995511933674797,,4995729.09087,,3.6615,,0.4519206628169625,318054.37292,,53.314120646433096,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-8.146221968945218,4h,1781928000000
0.7794,24.30939234517872,,0.03937,1781956799999,5e-05,0.6576,9624.0,,125148403.0,-0.22155323434627228,,5003931.24258394,,3.7164,,-1.599600099974996,233953.59193,,50.14865340371885,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-16.982250822585172,4h,1781942400000
0.8093,26.409183298824846,,0.03914,1781971199999,5e-05,0.6753,10722.0,,124211949.0,-0.7482748301630315,,4887859.43662104,,3.6984,,-0.5842011684023429,283159.26333,,49.02218051592957,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-4.956892840070095,4h,1781956800000
0.8932,18.305317953384836,,0.03876,1781985599999,5e-05,0.7103,7637.0,,123888042.0,-0.26076959793940313,,4848493.56163578,,3.7224,,-0.9708737864077666,139797.71321,,47.138206259654794,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-4.504664751232506,4h,1781971200000
0.9066,16.999679214026603,,0.03883,1781999999999,5e-05,0.7325,6616.0,,123382227.0,-0.4082839568971486,,4782295.11852,,3.7097,,0.180598555211553,112469.87768,,47.53817391244854,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,3.6547453814213116,4h,1781985600000
0.9113,22.66712409303074,,0.03862,1782014399999,5e-05,0.737,6213.0,,123104478.0,-0.22511264932832953,,4780146.88074,,3.7347,,-0.5408189544166886,140830.84199,,46.40383511438214,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-13.351967342022416,4h,1782000000000
0.9113,22.90548671873854,,0.03768,1782086399999,5e-05,0.737,40905.0,,123104478.0,-2.341836120092644,,4780146.88074,,3.7347,,-2.9616276075199677,936948.93423,,49.353047655718385,BANKUSDT_1d_limit500_20260719_170839_enriched_candles.csv,-3.545030739300301,1d,1782000000000
0.9482,17.562289556847077,,0.03867,1782028799999,5e-05,0.768,5506.0,,123004198.0,-0.0814592625948185,,4746763.98191148,,3.7804,,0.1294665976178111,96697.9663,,46.72976210056,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,5.396999316210017,4h,1782014400000
0.9747,34.33344516166403,,0.0379,1782043199999,5e-05,0.7928,9495.0,,122941144.0,-0.051261665069346485,,4753511.95629136,,3.768,,-1.991207654512539,325996.06181,,42.44865632751763,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-7.683411232310681,4h,1782028800000
0.9739,24.156417274081427,,0.03779,1782057599999,5e-05,0.7857,6042.0,,124212322.0,1.0339728089727274,,4706202.41449514,,3.7266,,-0.29023746701848374,145953.07317,,41.85868003471852,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,7.903367198417449,4h,1782043200000
0.9743,16.259167893770307,,0.03807,1782071999999,5e-05,0.7905,7079.0,,123826113.0,-0.31092647958066433,,4674884.01627906,,3.7044,,0.7409367557555058,115098.64952,,43.992542861196746,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,5.097537116610987,4h,1782057600000
0.9984,17.103857144596653,,0.03768,1782086399999,5e-05,0.7928,6570.0,,123834572.0,0.0068313539002939905,,4714382.15604,,3.7196,,-1.0244286840031536,112372.34144,,41.69703871032805,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-10.665448264597451,4h,1782072000000
0.992,21.76166409096972,,0.03799,1782100799999,5e-05,0.7873,7497.0,,124083014.0,0.2006241035823253,,4674179.83911692,,3.7247,,0.822717622080682,163147.19569,,44.18987513006725,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-0.6756893769076138,4h,1782086400000
0.992,29.141356581271936,,0.03762,1782172799999,5e-05,0.7873,60113.0,,124083014.0,0.7948825387164238,,4674179.83911692,,3.7247,,-0.15923566878980333,1751774.36817,,49.261571998765994,BANKUSDT_1d_limit500_20260719_170839_enriched_candles.csv,-3.866376818879622,1d,1782086400000
1.0,35.15718730131681,,0.03699,1782115199999,5e-05,0.794,12910.0,,124034091.0,-0.03942763672712957,,4712055.11709,,3.7411,,-2.6322716504343258,453879.28806,,38.475022458800964,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-13.250076445887512,4h,1782100800000
0.9782,35.901454240818566,,0.03773,1782129599999,5e-05,0.7627,16419.0,,124488744.0,0.36655486917704927,,4604252.29857576,,3.7379,,2.0005406866720588,589465.97718,,44.22346504743419,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-6.473724092195965,4h,1782115200000
0.9708,26.15323779278012,,0.03859,1782143999999,5e-05,0.7556,10665.0,,125255768.0,0.616139239062452,,4725900.12664,,3.7905,,2.279353299761455,278924.28106,,50.06293180749642,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,10.181426719852741,4h,1782129600000
0.9712,21.840909726156752,,0.03774,1782158399999,5e-05,0.7449,7413.0,,124921425.0,-0.2669282264111006,,4823216.21925,,3.8255,,-2.2026431718061623,161906.6638,,45.043454366394684,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,3.643615328450737,4h,1782144000000
0.9841,20.052018118640813,,0.03762,1782172799999,5e-05,0.7584,5209.0,,124460908.0,-0.3686453304547199,,4697154.66792,,3.8367,,-0.31796502384737746,104450.96238,,44.36713685204429,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-2.5139102983533412,4h,1782158400000
0.9689,24.878998415735495,,0.03747,1782187199999,5e-05,0.7498,6533.0,,124461525.0,0.000495737987060707,,4681314.0875235,,3.8334,,-0.3987240829345984,162534.49665,,43.488145643807606,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-18.57243319552249,4h,1782172800000
0.9689,32.26891321208475,,0.03875,1782259199999,5e-05,0.7498,54846.0,,124461525.0,0.3050465876014208,,4681314.0875235,,3.8334,,3.003721424774053,1769820.81403,,51.09985994767665,BANKUSDT_1d_limit500_20260719_170839_enriched_candles.csv,4.56011840352511,1d,1782172800000
0.9916,25.07536643752583,,0.0374,1782201599999,5e-05,0.7596,7259.0,,124539745.0,0.06284673114844708,,4666504.24515,,3.8124,,-0.18681611956231636,182022.08497,,43.0594167677715,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-1.2670932048603458,4h,1782187200000
0.9585,25.52496379183997,,0.03694,1782215999999,5e-05,0.7428,10098.0,,124634200.0,0.0758432579093471,,4661319.08,,3.8155,,-1.2299465240641738,257751.08437,,40.251172647849124,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-9.643489970470537,4h,1782201600000
0.9654,31.115431732283465,,0.03624,1782230399999,5e-05,0.7501,8001.0,,124718851.0,0.06791955979978948,,4607114.35594,,3.8794,,-1.8949648077964287,248954.56929,,36.36457063749878,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-6.514037897054747,4h,1782216000000
0.96,27.735627046719515,,0.03632,1782244799999,5e-05,0.7455,5929.0,,124668765.0,-0.040159125583993927,,4517736.7325688,,3.8339,,0.22075055187638082,164444.53276,,37.11194182164984,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-0.9148058708619557,4h,1782230400000
0.965,44.2919091971103,1.0,0.03875,1782259199999,5e-05,0.7495,17026.0,1.0,124495322.0,-0.13912305941267133,0.5833333333333334,4521670.09504,0.041666666666666664,3.8326,,6.690528634361237,754114.04599,1.0,54.56666476177842,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,20.656884586401887,4h,1782244800000
0.8727,28.965506001361366,0.76,0.03919,1782273599999,5e-05,0.651,13222.0,0.88,126001667.0,1.2099611260895315,0.96,4876128.43109964,0.8,3.8673,0.625,1.1354838709677573,382981.92035,0.84,56.899368035783816,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,0.510813342888929,4h,1782259200000
0.8727,34.53006220986041,,0.03708,1782345599999,5e-05,0.651,81883.0,,126001667.0,1.2374442623935389,,4876128.43109964,,3.8673,,-4.309677419354829,2827425.08393,,48.31392140304486,BANKUSDT_1d_limit500_20260719_170839_enriched_candles.csv,-6.006793735943411,1d,1782259200000
0.8839,38.97070407560089,0.9615384615384616,0.04028,1782287999999,5e-05,0.672,14312.0,0.8846153846153846,125827582.0,-0.1381608705224524,0.9230769230769231,4928570.75797768,0.8461538461538461,3.8466,0.96,2.7813217657565614,557748.71673,0.9230769230769231,62.09186028571552,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,0.2657871664306609,4h,1782273600000
0.8911,37.91034130778065,0.9259259259259259,0.03948,1782302399999,5e-05,0.6742,13932.0,0.8518518518518519,126348957.0,0.4143566869146298,1.0,5089335.98796,1.0,3.7866,0.7307692307692307,-1.9860973187686204,528166.8751,0.8888888888888888,56.693366135624366,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,-8.291641419524526,4h,1782288000000
