assessment_status,campaign_index,checkpoint_minutes,coverage_status,dominant_hypothesis,execution_decay,execution_decay_prior_median,execution_rank_last,execution_rank_last_prior_median,execution_rank_median,execution_rank_median_prior_median,ignition_time,missing_evidence,oi_return_pct,oi_return_pct_prior_median,opposing_evidence,positive_oi_fraction,positive_oi_fraction_prior_median,price_min_return_pct,price_min_return_pct_prior_median,price_return_pct,price_return_pct_prior_median,prior_campaign_count,prior_campaign_indices,supporting_evidence,taker_imbalance_median,taker_imbalance_median_prior_median,valid_ignition
MIXED_CONTEXT,3,45,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.34258395522388063,-0.4196654507213513,0.6417910447761194,0.3299319727891156,0.8933566433566433,0.5836042159180457,2026-07-04T09:30:00+00:00,,8.171303318286661,-5.550158973285784,price_return_pct=BELOW,1.0,0.16666666666666666,-6.25,-7.133651609744157,-6.25,-5.774856163545111,2,1|2,price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,1.9841646970992817,0.05131142234077157,True
MIXED_CONTEXT,3,60,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.2931985294117647,-0.42056516544595085,0.6911764705882353,0.32903225806451614,0.8636363636363636,0.4375,2026-07-04T09:30:00+00:00,,6.687975014663983,-3.674085340571353,price_return_pct=BELOW,0.75,0.375,-7.9605263157894735,-8.333651609744159,-7.9605263157894735,-6.901407761047867,2,1|2,price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,1.8296443320575217,-1.1714162676376862,True
IGNITION_SNAPSHOT_ONLY,4,0,COMPLETE,UNRESOLVED,0.0,0.0,0.13157894736842105,0.8695652173913043,0.13157894736842105,0.8695652173913043,2026-07-14T16:00:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,3,1|2|3,ignition proposal frozen,-0.7355381908678534,5.408606684683715,False
MIXED_CONTEXT,4,15,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,0.007551487414187652,-0.06129807692307687,0.1391304347826087,0.8297872340425532,0.13535469107551487,0.8496762257169288,2026-07-14T16:00:00+00:00,,1.1006680237594546,-4.1218938937975675,execution_rank_median=BELOW|execution_rank_last=BELOW|taker_imbalance_median=BELOW,1.0,0.0,-1.2048192771084265,-2.533969886154974,-1.2048192771084265,-2.533969886154974,3,1|2|3,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_decay=ABOVE,2.412418377986735,2.537015007419916,False
MIXED_CONTEXT,4,30,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.010889292196007247,-0.12073863636363635,0.1206896551724138,0.7241379310344828,0.13157894736842105,0.8297872340425532,2026-07-14T16:00:00+00:00,,1.634594336638795,-5.671490444573379,execution_rank_median=BELOW|execution_rank_last=BELOW|taker_imbalance_median=BELOW,1.0,0.0,-1.2048192771084265,-2.533969886154974,-0.9179575444635657,-1.9078947368421195,3,1|2|3,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_decay=ABOVE,-0.7355381908678534,2.1386850621410414,False
MIXED_CONTEXT,4,45,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,0.005173189383715721,-0.34258395522388063,0.13675213675213677,0.3333333333333333,0.13416554206027892,0.68572695035461,2026-07-14T16:00:00+00:00,,1.5018656904765892,-3.90697493679959,execution_rank_median=BELOW|execution_rank_last=BELOW|taker_imbalance_median=BELOW,0.6666666666666666,0.3333333333333333,-1.2048192771084265,-6.25,0.40160642570281624,-6.25,3,1|2|3,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_decay=ABOVE,1.520799122662612,1.9841646970992817,False
MIXED_CONTEXT,4,60,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.004460303300624441,-0.3715651135005974,0.1271186440677966,0.4,0.13157894736842105,0.5416666666666666,2026-07-14T16:00:00+00:00,,2.7904463371946964,-2.786379021683605,execution_rank_median=BELOW|execution_rank_last=BELOW|taker_imbalance_median=BELOW,0.75,0.5,-1.2048192771084265,-7.9605263157894735,-0.5737234652897327,-7.9605263157894735,3,1|2|3,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_decay=ABOVE,-0.7355381908678534,1.494598998791281,False
IGNITION_SNAPSHOT_ONLY,5,0,COMPLETE,UNRESOLVED,0.0,0.0,0.38461538461538464,0.749597423510467,0.38461538461538464,0.749597423510467,2026-07-15T05:45:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,4,1|2|3|4,ignition proposal frozen,8.811198925051604,5.016577485748639,True
MIXED_CONTEXT,5,15,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,0.015384615384615385,-0.050538030135914014,0.4,0.5756079027355623,0.39230769230769236,0.6626026631230146,2026-07-15T05:45:00+00:00,,-0.3686123801856067,-1.5106129350190565,positive_oi_fraction=BELOW|execution_rank_median=BELOW|execution_rank_last=BELOW,0.0,0.5,0.0,-1.8693945816317004,0.5421686746987842,-1.8693945816317004,4,1|2|3|4,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,8.752046704527029,2.4747166927033257,True
MIXED_CONTEXT,5,30,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,0.013045434098065634,-0.06581396427982181,0.39766081871345027,0.6329022988505747,0.39766081871345027,0.7297084318360914,2026-07-15T05:45:00+00:00,,0.6251427252178976,-2.018448053967292,execution_rank_median=BELOW|execution_rank_last=BELOW,0.5,0.5,0.0,-2.220932311498547,1.1445783132530085,-1.4680861859017846,4,1|2|3|4,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,8.692894484002455,0.7015734356365939,True
