checkpoint_minutes,cliff_delta,failure_count,failure_median,failure_q25,failure_q75,metric,observed_range_status,success_count,success_median,success_q25,success_q75
15,0.6428571428571429,7,-0.8536585365853555,-2.731660416943077,-0.047861456522546586,price_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.7411985079336714,0.4066265060240881,1.3021861812495539
15,0.7142857142857143,7,-0.8536585365853555,-2.731660416943077,-0.3028009084027228,price_min_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.0,0.0,0.0
15,0.5,7,-0.693023133245052,-2.8204015940202494,0.21567554343100426,oi_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.18888672056832645,0.021356990606388737,1.00884996935251
15,0.4642857142857143,7,0.0,0.0,0.5,positive_oi_fraction,OVERLAPPING_OBSERVED_RANGES,4,1.0,0.75,1.0
15,0.21428571428571427,7,0.5931474726420011,0.4753024394902323,0.7276802164369008,execution_rank_median,OVERLAPPING_OBSERVED_RANGES,4,0.7298931765659749,0.5943852437555637,0.8369629345549371
15,0.42857142857142855,7,0.5526315789473685,0.3963163799551234,0.6915560373284799,execution_rank_last,OVERLAPPING_OBSERVED_RANGES,4,0.7329175938863876,0.595575221238938,0.8345704003598742
15,0.7142857142857143,7,-0.0810317873892652,-0.230751364584341,-0.023760581644064194,execution_decay,OVERLAPPING_OBSERVED_RANGES,4,0.006048834640825396,-0.016790718110174407,0.01438560468679713
15,0.42857142857142855,7,2.339495527215488,-5.743657203001569,9.846765204058721,taker_imbalance_median,OVERLAPPING_OBSERVED_RANGES,4,10.001682013866485,7.409439197014597,11.500799510881109
30,0.42857142857142855,7,-1.5897047691143085,-2.921901180577596,-1.032431500407549,price_return_pct,OVERLAPPING_OBSERVED_RANGES,4,1.4789379141819103,0.3814600507292265,2.2368388079749
30,0.6071428571428571,7,-1.5933715742511234,-3.3922003365295215,-1.3131450674839784,price_min_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.0,-0.4769736842105299,0.0
30,0.6428571428571429,7,-0.6387899156327426,-4.362908251222236,0.1425879586517853,oi_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.8681765304566991,0.3241889766855244,2.7402388598541383
30,0.5714285714285714,7,0.5,0.0,0.5,positive_oi_fraction,OVERLAPPING_OBSERVED_RANGES,4,0.75,0.5,1.0
30,0.35714285714285715,7,0.6296296296296297,0.5315422651810087,0.7111851092896175,execution_rank_median,OVERLAPPING_OBSERVED_RANGES,4,0.7329175938863876,0.5949904259173007,0.8345704003598742
30,0.14285714285714285,7,0.5416666666666666,0.48988872601279315,0.6784624081401922,execution_rank_last,OVERLAPPING_OBSERVED_RANGES,4,0.6025269074111999,0.3975103199174406,0.8214538379908031
30,0.14285714285714285,7,-0.02582236842105262,-0.23312300339095454,0.0031400369999617372,execution_decay,OVERLAPPING_OBSERVED_RANGES,4,-0.05384660113278536,-0.1569697447631554,0.013878418350786584
30,0.2857142857142857,7,-3.8374315340666536,-13.756215236447364,8.737511866233898,taker_imbalance_median,OVERLAPPING_OBSERVED_RANGES,4,4.642763948996212,3.272001868827382,6.400038941202809
45,0.35714285714285715,7,-1.8292682926829174,-3.1928233923702254,-0.6092729895489368,price_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.9683510160043096,-1.058768656716419,1.4860685185334954
45,0.4642857142857143,7,-2.4224072672217933,-3.3922003365295215,-1.7113199334670204,price_min_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.0,-1.5625,0.0
45,0.5714285714285714,7,-0.5969340599616735,-3.3006016439104666,0.39203474335260946,oi_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.8514324089965775,0.1671502516630341,3.0940550912288316
45,0.39285714285714285,7,0.6666666666666666,0.3333333333333333,0.6666666666666666,positive_oi_fraction,OVERLAPPING_OBSERVED_RANGES,4,0.8333333333333333,0.5833333333333334,1.0
45,0.2857142857142857,7,0.5927092320966351,0.4718230378611596,0.6743441989452628,execution_rank_median,OVERLAPPING_OBSERVED_RANGES,4,0.6637817552527312,0.4944691948591028,0.8223271242752592
45,0.07142857142857142,7,0.35233160621761656,0.3299319727891156,0.5974134334584897,execution_rank_last,OVERLAPPING_OBSERVED_RANGES,4,0.4953141270392225,0.31294755507058586,0.679401536009274
45,0.0,7,-0.1728790526111435,-0.30861053059328925,-0.0688776109299562,execution_decay,OVERLAPPING_OBSERVED_RANGES,4,-0.18918106526846984,-0.3712987916968499,-0.026529285307609812
45,0.42857142857142855,7,-2.497391718288095,-10.182005978180856,3.7849012974911025,taker_imbalance_median,OVERLAPPING_OBSERVED_RANGES,4,4.206090327350443,1.8068951549762307,8.337631570815196
60,0.2857142857142857,7,-2.1341463414634054,-3.3468761807778744,-0.8226314704168902,price_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.6055565545765029,-1.8094086873811144,1.3320444453354396
60,0.4642857142857143,7,-2.4224072672217933,-3.4783577173451485,-2.0549635467673966,price_min_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.0,-1.9901315789473684,0.0
60,0.42857142857142855,7,-0.40054516574323795,-3.096018308527743,0.6510336188040977,oi_return_pct,OVERLAPPING_OBSERVED_RANGES,4,0.428525470910307,-0.33676573742691673,2.523936654235598
60,-0.03571428571428571,7,0.75,0.375,0.75,positive_oi_fraction,OVERLAPPING_OBSERVED_RANGES,4,0.625,0.4375,0.75
60,0.2857142857142857,7,0.5416666666666666,0.39322916666666663,0.5841714158006481,execution_rank_median,OVERLAPPING_OBSERVED_RANGES,4,0.5946459166190748,0.39394796380090497,0.8100838481906444
60,0.14285714285714285,7,0.3713355048859935,0.344884263761914,0.5078556263269639,execution_rank_last,OVERLAPPING_OBSERVED_RANGES,4,0.5341847265221878,0.31468664435655613,0.7020063839489283
60,-0.07142857142857142,7,-0.21999566254608544,-0.3169464874756188,-0.136683291111669,execution_decay,OVERLAPPING_OBSERVED_RANGES,4,-0.2714883327962826,-0.28744631562917916,-0.20721569116043395
60,0.7857142857142857,7,-3.8300175412946653,-7.931600968117145,0.15238798056511105,taker_imbalance_median,OVERLAPPING_OBSERVED_RANGES,4,3.9064557844617918,3.194741686306502,8.746653838561153
