code_version,timestamp,time,symbol,open_time,open_time_str,close_time,close_time_str,is_closed_candle,open,high,low,close,close_change,close_change_pct,rsi,mark_open,mark_high,mark_low,mark_close,mark_close_change,mark_close_change_pct,mark_close_time,mark_close_time_str,mark_last_close_spread,mark_last_close_spread_pct,premium_index_open,premium_index_high,premium_index_low,premium_index_close,premium_index_close_change,premium_index_close_change_pct,premium_index_close_time,premium_index_close_time_str,number_of_trades,trades_change,trades_change_pct,volume,volume_change,volume_change_pct,quote_volume,quote_volume_change,quote_volume_change_pct,quote_volume_source,avg_base_per_trade,avg_quote_per_trade,price_range,price_range_pct,candle_body,candle_body_pct,candle_body_abs,candle_body_abs_pct,upper_wick,upper_wick_pct_of_range,lower_wick,lower_wick_pct_of_range,close_location_in_range,taker_buy_base_volume,taker_sell_base_volume,taker_buy_base_pct,taker_sell_base_pct,taker_buy_quote_volume,taker_buy_quote_change,taker_buy_quote_change_pct,taker_sell_quote_volume,taker_sell_quote_change,taker_sell_quote_change_pct,taker_buy_quote_pct,taker_sell_quote_pct,taker_buy_sell_base_ratio,taker_buy_sell_quote_ratio,taker_quote_imbalance,taker_quote_imbalance_pct,oi,oi_value,oi_change,oi_change_pct,oi_value_change,oi_value_change_pct,acco_ls_ratio,acco_ls_change,acco_ls_change_pct,acco_long_pct,acco_short_pct,posit_ls_ratio,posit_ls_change,posit_ls_change_pct,posit_long_pct,posit_short_pct,global_ls_ratio,global_ls_change,global_ls_change_pct,global_long_pct,global_short_pct,acco_posit_ls_spread,global_acco_ls_spread,global_posit_ls_spread,funding_time,funding_time_str,funding_rate,mark_price_at_funding
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782219600000,2026-06-23 13:00:00 UTC,VELVETUSDT,1782219600000,2026-06-23 13:00:00 UTC,1782223199999,2026-06-23 13:59:59 UTC,True,0.481,0.485,0.4732,0.4846,,,51.95048603893249,0.48092689,0.4847,0.4732,0.4846,,,1782223199999,2026-06-23 13:59:59 UTC,0.0,0.0,0.0,0.00576558,-0.00187834,0.00400917,,,1782223199999,2026-06-23 13:59:59 UTC,18262,,,1477909.0,,,706409.31684,,,binance_kline_quote_asset_volume,80.92810206987187,38.6819251363487,0.011799999999999977,2.4532224532224487,0.003599999999999992,0.7484407484407468,0.003599999999999992,0.7484407484407468,0.00040000000000001146,3.3898305084746796,0.007799999999999974,66.10169491525414,0.9661016949152532,750707.0,727202.0,50.795211342511614,49.204788657488386,358912.78152,,,347496.53531999997,,,50.80804753900109,49.19195246099891,1.032322518364911,1.0328528346030477,11416.246200000052,1.6160950780021783,25946341.0,12480190.021,,,,,1.574,,,61.150000000000006,38.85,1.5308,,,60.49,39.51,1.6015,,,61.56,38.440000000000005,-0.04320000000000013,0.027499999999999858,0.07069999999999999,1782216000000,2026-06-23 12:00:00 UTC,9.791e-05,0.49134017
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782223200000,2026-06-23 14:00:00 UTC,VELVETUSDT,1782223200000,2026-06-23 14:00:00 UTC,1782226799999,2026-06-23 14:59:59 UTC,True,0.4848,0.4867,0.4772,0.482,-0.002599999999999991,-0.5365249690466346,51.04052251727756,0.4846,0.48598297,0.47740045,0.48155127,-0.0030487299999999995,-0.629122988031366,1782226799999,2026-06-23 14:59:59 UTC,0.0004487300000000083,0.09318426260198802,0.00386541,0.00412801,-0.0042066,0.00087979,-0.00312938,-78.05555763412377,1782226799999,2026-06-23 14:59:59 UTC,16426,-1836.0,-10.053663344650094,1313797.0,-164112.0,-11.104337276517025,632388.55892,-74020.75792,-10.478451537292724,binance_kline_quote_asset_volume,79.9827712163643,38.49924259831974,0.009500000000000008,1.9595709570957114,-0.0028000000000000247,-0.5775577557755827,0.0028000000000000247,0.5775577557755827,0.0019000000000000128,20.000000000000117,0.004799999999999971,50.52631578947333,0.5052631578947333,628267.0,685530.0,47.82070593858869,52.17929406141132,302507.33296,-56405.44855999999,-15.715642201741108,329881.22595999995,-17615.309360000014,-5.069204314160589,47.83567455373091,52.16432544626909,0.9164690093796041,0.9170189424380302,-27373.892999999924,-4.328650892538182,25908248.0,12555136.9808,-38093.0,-0.1468145354290996,74946.95979999937,0.6005273932038585,1.5753,0.0012999999999998568,0.08259212198220182,61.17,38.83,1.5316,0.0008000000000001339,0.05226025607526352,60.5,39.5,1.6055,0.0040000000000000036,0.249765844520762,61.62,38.379999999999995,-0.04369999999999985,0.030200000000000005,0.07389999999999985,1782216000000,2026-06-23 12:00:00 UTC,9.791e-05,0.49134017
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782226800000,2026-06-23 15:00:00 UTC,VELVETUSDT,1782226800000,2026-06-23 15:00:00 UTC,1782230399999,2026-06-23 15:59:59 UTC,True,0.4821,0.4825,0.4721,0.4755,-0.006500000000000006,-1.3485477178423249,48.741931047202975,0.4815713,0.482,0.47229984,0.4755,-0.0060512699999999975,-1.256620089487044,1782230399999,2026-06-23 15:59:59 UTC,0.0,0.0,0.00209966,0.00333861,-0.0011657,0.00029103,-0.00058876,-66.92051512292707,1782230399999,2026-06-23 15:59:59 UTC,13824,-2602.0,-15.840740289784488,1173145.0,-140652.0,-10.7057635235885,558351.09738,-74037.46153999993,-11.70759029329087,binance_kline_quote_asset_volume,84.86291956018519,40.38998100260417,0.010399999999999965,2.1572287907073147,-0.006599999999999995,-1.3690105787181073,0.006599999999999995,1.3690105787181073,0.00040000000000001146,3.8461538461539693,0.0033999999999999586,32.6923076923074,0.32692307692307404,512175.0,660970.0,43.658286060120446,56.341713939879554,243798.63266,-58708.700300000026,-19.407364352309095,314552.46472000005,-15328.761239999905,-4.6467516286781985,43.6640375211937,56.3359624788063,0.774883882778341,0.7750650845384988,-70753.83206000004,-12.671924957612598,25910423.0,12477197.10188721,2175.0,0.00839500995976262,-77939.87891278975,-0.6207807930091059,1.5826,0.007300000000000084,0.46340379610233506,61.28,38.72,1.5272,-0.0044000000000001815,-0.28728127448421137,60.42999999999999,39.57,1.6247,0.019200000000000106,1.1958891311118098,61.9,38.1,-0.055400000000000116,0.042100000000000026,0.09750000000000014,1782216000000,2026-06-23 12:00:00 UTC,9.791e-05,0.49134017
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782230400000,2026-06-23 16:00:00 UTC,VELVETUSDT,1782230400000,2026-06-23 16:00:00 UTC,1782233999999,2026-06-23 16:59:59 UTC,True,0.4755,0.4919,0.4754,0.4833,0.007800000000000029,1.640378548895905,51.561012750333845,0.4755,0.4907904,0.47524189,0.4831,0.007599999999999996,1.5983175604626703,1782233999999,2026-06-23 16:59:59 UTC,0.00020000000000003348,0.04139929621197133,0.00024746,0.00574139,-0.00333733,0.00130866,0.0010176299999999998,349.6649829914441,1782233999999,2026-06-23 16:59:59 UTC,22615,8791.0,63.59230324074075,1962123.0,788978.0,67.2532380907731,951561.6003,393210.50292,70.42352110797242,binance_kline_quote_asset_volume,86.76201636082246,42.07656866239222,0.016500000000000015,3.470031545741328,0.007800000000000029,1.640378548895905,0.007800000000000029,1.640378548895905,0.008599999999999997,52.121212121212054,9.999999999998899e-05,0.6060606060605388,0.4787878787878795,1090817.0,871306.0,55.593711505343954,44.406288494656046,528754.95954,284956.32687999995,116.8818396440304,422806.6407600001,108254.17604000005,34.41530052430613,55.56707620119378,44.43292379880622,1.2519333047172865,1.2505833839070182,105948.31877999986,11.134152402387548,25888738.0,12310094.919,-21685.0,-0.08369218827496563,-167102.18288720958,-1.3392605849108123,1.582,-0.0005999999999999339,-0.03791229622140364,61.27,38.73,1.5302,0.0030000000000001137,0.19643792561551296,60.480000000000004,39.519999999999996,1.6288,0.0040999999999999925,0.2523542807902993,61.96,38.04,-0.05180000000000007,0.04679999999999995,0.09860000000000002,1782216000000,2026-06-23 12:00:00 UTC,9.791e-05,0.49134017
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782234000000,2026-06-23 17:00:00 UTC,VELVETUSDT,1782234000000,2026-06-23 17:00:00 UTC,1782237599999,2026-06-23 17:59:59 UTC,True,0.4832,0.4892,0.4708,0.4723,-0.01100000000000001,-2.2760190357955743,47.58626302092237,0.48322949,0.489,0.4708,0.4723,-0.010799999999999976,-2.235561995446073,1782237599999,2026-06-23 17:59:59 UTC,0.0,0.0,0.00122613,0.0044427,-0.00246494,8.174e-05,-0.0012269199999999998,-93.75391621964452,1782237599999,2026-06-23 17:59:59 UTC,16210,-6405.0,-28.321910236568648,1269802.0,-692321.0,-35.284281362585325,608586.79516,-342974.80514000007,-36.04336335470767,binance_kline_quote_asset_volume,78.33448488587293,37.543910867365824,0.018400000000000027,3.807947019867555,-0.01090000000000002,-2.2557947019867592,0.01090000000000002,2.2557947019867592,0.006000000000000005,32.60869565217389,0.0015000000000000013,8.152173913043473,0.08152173913043473,552791.0,717011.0,43.533637527740545,56.466362472259455,265209.08068,-263545.87885999994,-49.84272470735338,343377.71447999997,-79428.92628000013,-18.786111338560264,43.577856566913425,56.42214343308657,0.7709658568696993,0.7723537943678844,-78168.63379999995,-12.844286866173146,25862329.0,12494091.1399,-26409.0,-0.10200960742080205,183996.220900001,1.4946775155731113,1.584,0.0020000000000000018,0.12642225031605572,61.3,38.7,1.5407,0.010499999999999954,0.6861848124428149,60.64000000000001,39.36,1.6357,0.006899999999999906,0.42362475442042646,62.06,37.940000000000005,-0.043300000000000116,0.05169999999999986,0.09499999999999997,1782230400002,2026-06-23 16:00:00 UTC,0.00011889,0.4755
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782237600000,2026-06-23 18:00:00 UTC,VELVETUSDT,1782237600000,2026-06-23 18:00:00 UTC,1782241199999,2026-06-23 18:59:59 UTC,True,0.4721,0.4822,0.4701,0.471,-0.0013000000000000234,-0.27524878255346674,47.12391915281797,0.4723,0.4816,0.4705,0.47084511,-0.0014548899999999865,-0.3080436163455402,1782241199999,2026-06-23 18:59:59 UTC,0.0001548899999999631,0.03289616833866303,0.0,0.00442808,-0.00171709,0.0,-8.174e-05,-100.0,1782241199999,2026-06-23 18:59:59 UTC,15698,-512.0,-3.158544108574954,1113660.0,-156142.0,-12.2965627712037,529461.93472,-79124.86043999996,-13.001409341981812,binance_kline_quote_asset_volume,70.94279526054274,33.727986668365396,0.0121,2.5630163101037917,-0.0011000000000000454,-0.23300148273671792,0.0011000000000000454,0.23300148273671792,0.010099999999999998,83.47107438016528,0.0008999999999999564,7.438016528925259,0.07438016528925259,576575.0,537085.0,51.77298277750839,48.227017222491604,274173.15896,8964.078279999958,3.3800042807795,255288.77576000005,-88088.93871999992,-25.653656310631266,51.783356079222834,48.216643920777166,1.0735265367679232,1.073972634103402,18884.383199999924,3.5667121584456716,25756537.0,12164812.4251,-105792.0,-0.4090582870552764,-329278.7148000002,-2.635475530896725,1.5907,0.006699999999999928,0.4229797979797934,61.4,38.6,1.5432,0.0024999999999999467,0.16226390601674218,60.68,39.32,1.6518,0.016100000000000003,0.984288072384912,62.29,37.71,-0.0475000000000001,0.06109999999999993,0.10860000000000003,1782230400002,2026-06-23 16:00:00 UTC,0.00011889,0.4755
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782241200000,2026-06-23 19:00:00 UTC,VELVETUSDT,1782241200000,2026-06-23 19:00:00 UTC,1782244799999,2026-06-23 19:59:59 UTC,True,0.4709,0.4735,0.4628,0.4659,-0.005099999999999993,-1.0828025477706993,45.2658343208936,0.47084511,0.4735,0.4654,0.4659,-0.00494511000000003,-1.0502625799809262,1782244799999,2026-06-23 19:59:59 UTC,0.0,0.0,0.0,0.00448345,-0.00082799,0.00066841,0.00066841,,1782244799999,2026-06-23 19:59:59 UTC,15171,-527.0,-3.3571155561217987,1118397.0,4737.0,0.42535423737945155,524201.68368,-5260.251040000003,-0.9935088237800942,binance_kline_quote_asset_volume,73.71939885307495,34.5528761241843,0.010699999999999987,2.2722446379273706,-0.0050000000000000044,-1.0617965597791472,0.0050000000000000044,1.0617965597791472,0.002599999999999991,24.299065420560694,0.0030999999999999917,28.97196261682239,0.2897196261682239,487460.0,630937.0,43.58559617023293,56.41440382976707,228817.94016,-45355.21879999997,-16.542545219248467,295383.74352,40094.96775999997,15.705730751630739,43.65074498686318,56.349255013136826,0.7725969470802949,0.7746463547155467,-66565.80336000002,-12.698510026273638,25669180.0,12086207.8807098,-87357.0,-0.3391643837834255,-78604.5443901997,-0.6461632258958037,1.6082,0.01750000000000007,1.1001445904318898,61.660000000000004,38.34,1.5487,0.00550000000000006,0.35640228097460214,60.760000000000005,39.24,1.7005,0.048699999999999966,2.9482988255236693,62.970000000000006,37.03,-0.05950000000000011,0.09229999999999983,0.15179999999999993,1782230400002,2026-06-23 16:00:00 UTC,0.00011889,0.4755
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782244800000,2026-06-23 20:00:00 UTC,VELVETUSDT,1782244800000,2026-06-23 20:00:00 UTC,1782248399999,2026-06-23 20:59:59 UTC,True,0.466,0.4684,0.4503,0.4621,-0.00379999999999997,-0.8156256707447885,43.87759278890245,0.4659,0.46816857,0.45142028,0.4621,-0.00379999999999997,-0.8156256707447885,1782248399999,2026-06-23 20:59:59 UTC,0.0,0.0,0.00066012,0.0052954,-0.00236093,0.00038913,-0.00027928,-41.78273813976452,1782248399999,2026-06-23 20:59:59 UTC,20308,5137.0,33.86065519741612,2275284.0,1156887.0,103.44153283672972,1044962.16705,520760.48337000003,99.3435350520353,binance_kline_quote_asset_volume,112.03880244238724,51.45569071548159,0.018100000000000005,3.8841201716738207,-0.0039000000000000146,-0.8369098712446383,0.0039000000000000146,0.8369098712446383,0.0023999999999999577,13.259668508287056,0.011800000000000033,65.19337016574602,0.6519337016574602,998921.0,1276363.0,43.90313472955464,56.09686527044536,458737.55284,229919.61268000002,100.48146247590101,586224.61421,290840.87069,98.46204372120688,43.899919758343756,56.100080241656244,0.782630803305956,0.7825286446871522,-127487.06137000001,-12.200160483312496,25645484.0,11948230.9956,-23696.0,-0.09231303843753481,-137976.88510980085,-1.1416060891193087,1.6267,0.01849999999999996,1.1503544335281657,61.92999999999999,38.07,1.5558,0.007100000000000106,0.4584490217601928,60.870000000000005,39.129999999999995,1.6991,-0.0013999999999998458,-0.08232872684503652,62.949999999999996,37.05,-0.07089999999999996,0.07240000000000002,0.14329999999999998,1782244800000,2026-06-23 20:00:00 UTC,0.00018987,0.4659
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782248400000,2026-06-23 21:00:00 UTC,VELVETUSDT,1782248400000,2026-06-23 21:00:00 UTC,1782251999999,2026-06-23 21:59:59 UTC,True,0.4622,0.4665,0.4544,0.4651,0.0030000000000000027,0.6492101276779924,45.3037723860974,0.4621,0.46636397,0.45484187,0.4651,0.0030000000000000027,0.6492101276779924,1782251999999,2026-06-23 21:59:59 UTC,0.0,0.0,0.00049731,0.00565119,-0.0010613,0.00228542,0.0018962899999999997,487.31529308971284,1782251999999,2026-06-23 21:59:59 UTC,11634,-8674.0,-42.71223163285405,1036704.0,-1238580.0,-54.436281360920226,477450.17804,-567511.98901,-54.3093335725374,binance_kline_quote_asset_volume,89.10985043837029,41.03921076499914,0.0121,2.6179143228039807,0.0029000000000000137,0.6274340112505439,0.0029000000000000137,0.6274340112505439,0.0014000000000000123,11.570247933884401,0.007799999999999974,64.46280991735516,0.884297520661156,419327.0,617377.0,40.44809318764083,59.55190681235917,193139.7799,-265597.77294000005,-57.89754322394358,284310.39814000006,-301914.21606999997,-51.50145673716916,40.452342209372695,59.54765779062732,0.6792073562831139,0.6793271760848302,-91170.61824000007,-19.095315581254624,25456803.0,11763588.6663,-188681.0,-0.7357279745626949,-184642.3292999994,-1.545352859080101,1.5974,-0.029300000000000104,-1.8011925985123318,61.5,38.5,1.5592,0.0033999999999998476,0.21853708702917132,60.92999999999999,39.07,1.6413,-0.057800000000000074,-3.4018009534459464,62.13999999999999,37.86,-0.03820000000000001,0.04390000000000005,0.08210000000000006,1782244800000,2026-06-23 20:00:00 UTC,0.00018987,0.4659
FINAL_REAL_MARK_PREMIUM_CLOSED_GUARD_2026_06_13,1782252000000,2026-06-23 22:00:00 UTC,VELVETUSDT,1782252000000,2026-06-23 22:00:00 UTC,1782255599999,2026-06-23 22:59:59 UTC,True,0.4652,0.4715,0.4607,0.4648,-0.00030000000000002247,-0.0645022575790201,45.18012923042466,0.4651,0.4710856,0.46082088,0.46462238,-0.0004776200000000119,-0.10269189421630014,1782255599999,2026-06-23 22:59:59 UTC,0.00017761999999998945,0.038228894613296385,0.00213575,0.00419104,-0.00180222,0.00343007,0.00114465,50.084885929063375,1782255599999,2026-06-23 22:59:59 UTC,14337,2703.0,23.233625580195977,1258208.0,221504.0,21.36617588048276,586506.32384,109056.14579999994,22.841366663154407,binance_kline_quote_asset_volume,87.75950338285554,40.908580863500035,0.010799999999999976,2.3215821152192553,-0.00040000000000001146,-0.085984522785901,0.00040000000000001146,0.085984522785901,0.006299999999999972,58.3333333333332,0.0040999999999999925,37.962962962962976,0.37962962962962976,537259.0,720949.0,42.70033253643277,57.299667463567225,250446.74834,57306.96844,29.67124041959209,336059.5755,51749.177359999914,18.201647811177697,42.70145745407552,57.29854254592448,0.7452108262859093,0.7452450892594786,-85612.82715999999,-14.597085091848955,25339302.0,11785309.3602,-117501.0,-0.4615701351029821,21720.693900000304,0.1846434325115867,1.6144,0.017000000000000126,1.0642293727306953,61.75000000000001,38.25,1.5676,0.008400000000000185,0.5387378142637369,61.050000000000004,38.95,1.6483,0.007000000000000117,0.42649119600317537,62.239999999999995,37.76,-0.04679999999999995,0.03390000000000004,0.0807,1782244800000,2026-06-23 20:00:00 UTC,0.00018987,0.4659
