anchor_close_time,anchor_time,anchor_timestamp,campaign_index,campaign_profile_outcome,coverage_complete,decision_available_time,first_negative_minutes,first_positive_minutes,future_rows,gap_truncated,horizon_minutes,mae_close_pct,mae_percentile,matched_control_count,mfe_close_pct,mfe_percentile,observed_minutes,path_class,stage,stage_review_status,symbol,terminal_percentile,terminal_return_pct
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,2,False,30,-0.7309941520467822,0.5,8,0.29239766081872176,0.625,30,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.75,0.29239766081872176
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,4,False,60,-0.7309941520467822,0.75,8,0.29239766081872176,0.625,60,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.75,-0.43859649122806044
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,8,False,120,-1.754385964912275,0.625,8,0.29239766081872176,0.5,120,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.25,-1.388888888888884
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,16,False,240,-1.754385964912275,0.875,8,1.0964912280701844,0.5,240,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.75,0.9502923976608235
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,32,False,480,-1.754385964912275,0.875,8,3.801169590643294,0.5,480,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.75,3.3625730994152114
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,48,False,720,-1.754385964912275,0.875,8,4.532163742690054,0.625,720,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.625,1.4619883040935644
1783972799999,2026-07-13T19:45:00+00:00,1783971900000,1,failed_ignition,True,2026-07-13T19:59:59.999000+00:00,15,30,96,False,1440,-1.754385964912275,0.875,8,5.994152046783641,0.375,1440,MATCHED_CONTROL_LIKE,EARLY_BUILD,PASS,ESPORTSUSDT,0.25,1.7543859649122862
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,,2,False,30,-1.0204081632653073,0.1111111111111111,9,-0.7288629737609242,0.0,30,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.4444444444444444,-0.7288629737609242
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,,4,False,60,-1.4577259475218596,0.4444444444444444,9,-0.7288629737609242,0.0,60,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.3333333333333333,-1.4577259475218596
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,,8,False,120,-2.0408163265306034,0.3333333333333333,9,-0.7288629737609242,0.0,120,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.6666666666666666,-0.9475218658892115
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,150,16,False,240,-2.0408163265306034,0.6666666666666666,9,1.676384839650158,0.5555555555555556,240,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.8888888888888888,1.4577259475218707
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,150,32,False,480,-2.0408163265306034,0.7777777777777778,9,4.154518950437325,0.5555555555555556,480,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.6666666666666666,4.154518950437325
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,150,48,False,720,-2.0408163265306034,0.7777777777777778,9,4.2274052478134205,0.3333333333333333,720,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.4444444444444444,1.384839650145775
1783974599999,2026-07-13T20:15:00+00:00,1783973700000,1,failed_ignition,True,2026-07-13T20:29:59.999000+00:00,15,150,96,False,1440,-2.0408163265306034,0.7777777777777778,9,5.685131195335291,0.1111111111111111,1440,MATCHED_CONTROL_LIKE,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.1111111111111111,1.0932944606414141
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,2,False,30,0.5788712011577379,0.7777777777777778,9,0.8683068017365958,0.6666666666666666,30,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.7777777777777778,0.8683068017365958
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,4,False,60,0.5788712011577379,0.8888888888888888,9,1.0853835021707559,0.5555555555555556,60,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.7777777777777778,1.0853835021707559
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,8,False,120,0.5788712011577379,0.8888888888888888,9,2.604920405209832,0.6666666666666666,120,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.6666666666666666,2.604920405209832
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,16,False,240,0.5788712011577379,0.8888888888888888,9,4.920405209840806,0.5555555555555556,240,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.6666666666666666,2.677279305354552
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,32,False,480,0.5788712011577379,0.8888888888888888,9,4.920405209840806,0.4444444444444444,480,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.5555555555555556,2.894356005788712
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,48,False,720,0.0,0.7777777777777778,9,4.920405209840806,0.4444444444444444,720,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.2222222222222222,0.0
1784020499999,2026-07-14T09:00:00+00:00,1784019600000,2,accepted_expansion,True,2026-07-14T09:14:59.999000+00:00,,15,96,False,1440,0.0,0.7777777777777778,9,7.959479015918958,0.2222222222222222,1440,MATCHED_CONTROL_LIKE,EARLY_BUILD,RESTRICT,ESPORTSUSDT,0.2222222222222222,4.413892908827788
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,,2,False,30,-0.07122507122506727,0.4,10,0.0,0.2,30,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.4,0.0
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,45,4,False,60,-0.07122507122506727,0.6,10,1.638176638176625,0.5,60,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.8,1.638176638176625
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,45,8,False,120,-0.07122507122506727,0.6,10,3.276353276353272,0.5,120,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.7,3.276353276353272
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,45,16,False,240,-0.14245014245014564,0.6,10,3.276353276353272,0.4,240,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.2,-0.14245014245014564
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,45,32,False,480,-0.4985754985755042,0.7,10,3.276353276353272,0.0,480,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.1,0.92592592592593
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,45,48,False,720,-1.5669515669515688,0.6,10,3.276353276353272,0.0,720,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.6,1.9943019943019946
1784024999999,2026-07-14T10:15:00+00:00,1784024100000,2,accepted_expansion,True,2026-07-14T10:29:59.999000+00:00,15,45,96,False,1440,-1.5669515669515688,0.6,10,6.481481481481466,0.1,1440,MATCHED_CONTROL_LIKE,CONFIRMED_BUILD,PASS,ESPORTSUSDT,0.3,5.4131054131054235
1784031299999,2026-07-14T12:00:00+00:00,1784030400000,2,accepted_expansion,True,2026-07-14T12:14:59.999000+00:00,30,15,2,False,30,-0.9059233449477344,0.2,10,1.0452961672474004,0.4,30,NEGATIVE_PATH_OUTLIER,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.2,-0.9059233449477344
1784031299999,2026-07-14T12:00:00+00:00,1784030400000,2,accepted_expansion,True,2026-07-14T12:14:59.999000+00:00,30,15,4,False,60,-1.1149825783972167,0.2,10,1.0452961672474004,0.3,60,NEGATIVE_PATH_OUTLIER,IGNITION_CANDIDATE,PASS,ESPORTSUSDT,0.2,-1.1149825783972167
